,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,PK,PKatt,Saves,CS,Nation
120,2021-10-10,20:45,UEFA Nations League,Final,Sun,Neutral,L,1,2,fr France,64.0,31511.0,Sergio Busquets,4-3-3,Anthony Taylor,Match Report,,0,0,0,0,0,0,Spain
121,2020-09-03,20:45,UEFA Nations League,League A,Thu,Home,D,1,1,es Spain,41.0,,Toni Kroos,4-2-3-1,Daniele Orsato,Match Report,,10,7,0,0,4,0,Germany
122,2020-09-06,20:45,UEFA Nations League,League A,Sun,Away,D,1,1,ch Switzerland,53.0,,Toni Kroos,3-4-3,Michael Oliver,Match Report,,14,4,0,0,5,0,Germany
123,2020-10-10,21:45,UEFA Nations League,League A,Sat,Away,W,2,1,ua Ukraine,73.0,17753.0,Manuel Neuer,3-4-3,Orel Grinfeeld,Match Report,,17,12,0,0,2,0,Germany
124,2020-10-13,20:45,UEFA Nations League,League A,Tue,Home,D,3,3,ch Switzerland,63.0,,Manuel Neuer,4-2-3-1,Ruddy Buquet,Match Report,,18,7,0,0,5,0,Germany
125,2020-11-14,20:45,UEFA Nations League,League A,Sat,Home,W,3,1,ua Ukraine,56.0,,Manuel Neuer,3-4-3,Ovidiu Hațegan,Match Report,,20,6,0,0,0,0,Germany
126,2020-11-17,20:45,UEFA Nations League,League A,Tue,Away,L,0,6,es Spain,30.0,,Manuel Neuer,4-3-3,Andreas Ekberg,Match Report,,2,0,0,0,4,0,Germany
127,2020-09-03,21:45,UEFA Nations League,League A,Thu,Away,L,1,2,ua Ukraine,56.0,,Granit Xhaka,5-4-1,Andreas Ekberg,Match Report,,9,2,0,0,2,0,Switzerland
128,2020-09-06,20:45,UEFA Nations League,League A,Sun,Home,D,1,1,de Germany,47.0,,Granit Xhaka,5-4-1,Michael Oliver,Match Report,,20,6,0,0,3,0,Switzerland
129,2020-10-10,20:45,UEFA Nations League,League A,Sat,Away,L,0,1,es Spain,40.0,,Granit Xhaka,5-3-2,Ali Palabıyık,Match Report,,4,2,0,0,1,0,Switzerland
130,2020-10-13,20:45,UEFA Nations League,League A,Tue,Away,D,3,3,de Germany,37.0,,Granit Xhaka,4-4-2,Ruddy Buquet,Match Report,,13,8,0,0,4,0,Switzerland
131,2020-11-14,20:45,UEFA Nations League,League A,Sat,Home,D,1,1,es Spain,29.0,,Granit Xhaka,4-4-1-1,William Collum,Match Report,,7,4,0,0,4,0,Switzerland
132,2020-09-03,21:45,UEFA Nations League,League A,Thu,Home,W,2,1,ch Switzerland,44.0,,Andriy Pyatov,4-2-3-1,Andreas Ekberg,Match Report,,14,5,0,0,1,0,Ukraine
133,2020-09-06,20:45,UEFA Nations League,League A,Sun,Away,L,0,4,es Spain,30.0,,Andriy Pyatov,4-2-3-1,Benoît Bastien,Match Report,,4,2,0,0,6,0,Ukraine
134,2020-10-10,21:45,UEFA Nations League,League A,Sat,Home,L,1,2,de Germany,27.0,17753.0,Andriy Yarmolenko,4-2-3-1,Orel Grinfeeld,Match Report,,9,3,1,1,10,0,Ukraine
135,2020-10-13,21:45,UEFA Nations League,League A,Tue,Home,W,1,0,es Spain,28.0,10495.0,Andriy Yarmolenko,4-3-3,Paweł Gil,Match Report,,3,1,0,0,8,1,Ukraine
136,2020-11-14,20:45,UEFA Nations League,League A,Sat,Away,L,1,3,de Germany,45.0,,Andriy Pyatov,4-3-3,Ovidiu Hațegan,Match Report,,6,1,0,0,3,0,Ukraine
