,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,PK,PKatt,Saves,CS,Nation
47,2023-11-18,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,1.0,0.0,ie Rep. of Ireland,55.0,51811.0,Virgil van Dijk,3-4-3,Marco Di Bello,Match Report,,19.0,5.0,0,0,1.0,1,Netherlands
48,2023-11-21,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,W,6.0,0.0,gi Gibraltar,79.0,2280.0,Virgil van Dijk,4-3-3,Arda Kardeşler,Match Report,,23.0,9.0,0,0,0.0,1,Netherlands
49,2024-03-22,20:45,Friendlies (M),Friendlies (M),Fri,Home,W,4.0,0.0,sct Scotland,,46223.0,Virgil van Dijk,4-1-4-1,Erik Lambrechts,Match Report,,,,0,0,,1,Netherlands
50,2024-03-26,20:45,Friendlies (M),Friendlies (M),Tue,Away,L,1.0,2.0,de Germany,,48390.0,Virgil van Dijk,3-4-1-2,Espen Eskås,Match Report,,,,0,0,,0,Netherlands
51,2023-03-23,20:45,UEFA Euro Qualifying,Group stage,Thu,Away,W,2.0,1.0,it Italy,42.0,44536.0,Harry Kane,4-3-3,Srđan Jovanović,Match Report,,7.0,4.0,1,1,0.0,0,England
52,2023-03-26,17:00,UEFA Euro Qualifying,Group stage,Sun,Home,W,2.0,0.0,ua Ukraine,58.0,83947.0,Harry Kane,4-3-3,Serdar Gözübüyük,Match Report,,18.0,8.0,0,0,0.0,1,England
53,2023-06-16,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,4.0,0.0,mt Malta,66.0,16277.0,Harry Kane,4-3-3,Igor Pajač,Match Report,,16.0,8.0,2,2,0.0,1,England
54,2023-06-19,19:45,UEFA Euro Qualifying,Group stage,Mon,Home,W,7.0,0.0,mk N. Macedonia,67.0,70708.0,Harry Kane,4-3-3,István Kovács,Match Report,,14.0,10.0,1,1,0.0,1,England
55,2023-09-09,19:00,UEFA Euro Qualifying,Group stage,Sat,Away,D,1.0,1.0,ua Ukraine,68.0,39000.0,Harry Kane,4-3-3,Georgi Kabakov,Match Report,,11.0,4.0,0,0,0.0,0,England
56,2023-10-17,19:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,3.0,1.0,it Italy,51.0,83194.0,Harry Kane,4-2-3-1,Clément Turpin,Match Report,,9.0,6.0,1,1,3.0,0,England
57,2023-11-17,19:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,2.0,0.0,mt Malta,75.0,81388.0,Harry Kane,4-3-3,Luís Godinho,Match Report,,11.0,3.0,0,0,0.0,1,England
58,2023-11-20,20:45,UEFA Euro Qualifying,Group stage,Mon,Away,D,1.0,1.0,mk N. Macedonia,75.0,27982.0,Kyle Walker,4-2-3-1,Filip Glova,Match Report,,16.0,2.0,0,0,1.0,0,England
59,2024-03-23,19:00,Friendlies (M),Friendlies (M),Sat,Home,L,0.0,1.0,br Brazil,,83674.0,Kyle Walker,4-2-3-1,Artur Dias,Match Report,,,,0,0,,0,England
60,2024-03-26,19:45,Friendlies (M),Friendlies (M),Tue,Home,D,2.0,2.0,be Belgium,,80733.0,Declan Rice,4-2-3-1,Sebastian Gishamer,Match Report,,,,1,1,,0,England
61,2024-06-03,19:45,Friendlies (M),Friendlies (M),Mon,Home,W,3.0,0.0,ba Bosnia & Herz'na,,50061.0,Kieran Trippier,4-2-3-1,Rohit Saggi,Match Report,,,,1,1,,0,England
62,2023-03-23,20:45,UEFA Euro Qualifying,Group stage,Thu,Home,L,1.0,2.0,eng England,58.0,44536.0,Marco Verratti,4-3-3,Srđan Jovanović,Match Report,,10.0,1.0,0,0,2.0,0,Italy
63,2023-03-26,20:45,UEFA Euro Qualifying,Group stage,Sun,Away,W,2.0,0.0,mt Malta,69.0,16015.0,Gianluigi Donnarumma,4-3-3,Georgi Kabakov,Match Report,,17.0,6.0,0,0,2.0,1,Italy
64,2023-09-09,20:45,UEFA Euro Qualifying,Group stage,Sat,Away,D,1.0,1.0,mk N. Macedonia,73.0,28126.0,Ciro Immobile,4-3-3,François Letexier,Match Report,,9.0,3.0,0,0,2.0,0,Italy
65,2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Home,W,2.0,1.0,ua Ukraine,64.0,58386.0,Gianluigi Donnarumma,4-3-3,Alejandro Hernández,Match Report,,22.0,5.0,0,0,2.0,0,Italy
66,2023-10-14,20:45,UEFA Euro Qualifying,Group stage,Sat,Home,W,4.0,0.0,mt Malta,67.0,56186.0,Gianluigi Donnarumma,4-3-3,Duje Strukan,Match Report,,18.0,4.0,0,0,0.0,1,Italy
67,2023-10-17,19:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,1.0,3.0,eng England,49.0,83194.0,Gianluigi Donnarumma,4-3-3,Clément Turpin,Match Report,,15.0,4.0,0,0,3.0,0,Italy
68,2023-11-17,20:45,UEFA Euro Qualifying,Group stage,Fri,Home,W,5.0,2.0,mk N. Macedonia,64.0,56364.0,Gianluigi Donnarumma,4-3-3,Felix Zwayer,Match Report,,20.0,11.0,0,1,0.0,0,Italy
69,2023-11-20,21:45,UEFA Euro Qualifying,Group stage,Mon,Away,D,0.0,0.0,ua Ukraine,59.0,26403.0,Gianluigi Donnarumma,4-3-3,Jesús Gil,Match Report,,17.0,2.0,0,0,4.0,1,Italy
70,2024-03-21,17:00,Friendlies (M),Friendlies (M),Thu,Neutral,W,2.0,1.0,ve Venezuela,,,Gianluigi Donnarumma,3-4-3,Rubiel Vázquez,Match Report,,,,0,0,,0,Italy
71,2024-03-24,16:00,Friendlies (M),Friendlies (M),Sun,Neutral,W,2.0,0.0,ec Ecuador,,,Nicolò Barella,3-4-3,Jon Freemon,Match Report,,,,0,0,,1,Italy
72,2024-06-04,21:00,Friendlies (M),Friendlies (M),Tue,Home,D,0.0,0.0,tr Türkiye,,25012.0,Jorginho,4-1-4-1,Sebastian Gishamer,Match Report,,,,0,0,,1,Italy
73,2023-03-26,17:00,UEFA Euro Qualifying,Group stage,Sun,Away,L,0.0,2.0,eng England,42.0,83947.0,Oleksandr Zinchenko,4-2-3-1,Serdar Gözübüyük,Match Report,,3.0,0.0,0,0,6.0,0,Ukraine
74,2023-06-16,20:45,UEFA Euro Qualifying,Group stage,Fri,Away,W,3.0,2.0,mk N. Macedonia,52.0,14370.0,Andriy Yarmolenko,4-4-2,Lukas Fähndrich,Match Report,,6.0,3.0,0,0,3.0,0,Ukraine
75,2023-06-19,18:00,UEFA Euro Qualifying,Group stage,Mon,Home,W,1.0,0.0,mt Malta,64.0,7543.0,Andriy Yarmolenko,4-2-3-1,Ruddy Buquet,Match Report,,19.0,8.0,1,2,2.0,1,Ukraine
76,2023-09-09,19:00,UEFA Euro Qualifying,Group stage,Sat,Home,D,1.0,1.0,eng England,32.0,39000.0,Taras Stepanenko,4-2-3-1,Georgi Kabakov,Match Report,,2.0,1.0,0,0,3.0,0,Ukraine
77,2023-09-12,20:45,UEFA Euro Qualifying,Group stage,Tue,Away,L,1.0,2.0,it Italy,36.0,58386.0,Andriy Yarmolenko,4-2-3-1,Alejandro Hernández,Match Report,,9.0,3.0,0,0,3.0,0,Ukraine
78,2023-10-14,16:00,UEFA Euro Qualifying,Group stage,Sat,Home,W,2.0,0.0,mk N. Macedonia,45.0,12939.0,Taras Stepanenko,4-2-3-1,Slavko Vinčič,Match Report,,18.0,7.0,0,0,5.0,1,Ukraine
