,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,PK,PKatt,Saves,CS,Nation,xG,xGA,Venue Num,target
192,2022-12-10,18:00,World Cup,Quarter-finals,Sat,Neutral,L,0,1,Morocco,73.0,44198.0,Pepe,4-3-3,Facundo Tello,Match Report,,12.0,3.0,0,0,2.0,0,Portugal,0.9,1.4,3,1.0
279,2022-12-10,18:00,World Cup,Quarter-finals,Sat,Neutral,L,0,1,Morocco,73.0,44198.0,Pepe,4-3-3,Facundo Tello,Match Report,,12.0,3.0,0,0,2.0,0,Portugal,0.9,1.4,3,1.0
33,2022-12-10,22:00,World Cup,Quarter-finals,Sat,Neutral,L,1,2,France,57.0,68895.0,Harry Kane,4-3-3,Wilton Sampaio,Match Report,,14.0,6.0,1,2,3.0,0,England,2.4,0.9,3,1.0
66,2022-12-10,22:00,World Cup,Quarter-finals,Sat,Neutral,W,2,1,England,43.0,68895.0,Hugo Lloris,4-2-3-1,Wilton Sampaio,Match Report,,8.0,5.0,0,0,6.0,0,France,0.9,2.4,3,3.0
228,2022-12-13,22:00,World Cup,Semi-finals,Tue,Neutral,L,0,3,Argentina,60.0,88966.0,Luka Modrić,4-3-3,Daniele Orsato,Match Report,,12.0,2.0,0,0,4.0,0,Croatia,0.5,2.3,3,1.0
132,2022-12-13,22:00,World Cup,Semi-finals,Tue,Neutral,L,0,3,Argentina,60.0,88966.0,Luka Modrić,4-3-3,Daniele Orsato,Match Report,,12.0,2.0,0,0,4.0,0,Croatia,0.5,2.3,3,1.0
67,2022-12-14,22:00,World Cup,Semi-finals,Wed,Neutral,W,2,0,Morocco,39.0,68294.0,Hugo Lloris,4-2-3-1,César Arturo Ramos,Match Report,,14.0,2.0,0,0,2.0,1,France,2.0,0.9,3,3.0
208,2022-12-14,22:00,World Cup,Semi-finals,Wed,Neutral,W,2,0,Morocco,39.0,68294.0,Hugo Lloris,4-2-3-1,César Arturo Ramos,Match Report,,14.0,2.0,0,0,2.0,1,France,2.0,0.9,3,3.0
133,2022-12-17,18:00,World Cup,Third-place match,Sat,Neutral,W,2,1,Morocco,50.0,44137.0,Luka Modrić,4-2-3-1,Abdulrahman Ibrahim Al Jassim,Match Report,,12.0,4.0,0,0,1.0,0,Croatia,0.7,1.2,3,3.0
229,2022-12-17,18:00,World Cup,Third-place match,Sat,Neutral,W,2,1,Morocco,50.0,44137.0,Luka Modrić,4-2-3-1,Abdulrahman Ibrahim Al Jassim,Match Report,,12.0,4.0,0,0,1.0,0,Croatia,0.7,1.2,3,3.0
209,2022-12-18,18:00,World Cup,Final,Sun,Neutral,D,3 (2),3 (4),Argentina,46.0,88966.0,Hugo Lloris,4-2-3-1,Szymon Marciniak,Match Report,Argentina won on penalty kicks following extra time,8.0,3.0,2,2,7.0,0,France,2.2,3.2,3,2.0
