,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,PK,PKatt,Saves,CS,Nation
85,2021-03-28,20:00,WCQ,First round,Sun,Away,W,2,1,ge Georgia,,,79.0,,Sergio Busquets,4-3-3,Radu Petrescu,Match Report,,9.0,3.0,0,0,1.0,0,Spain
86,2021-03-31,20:45,WCQ,First round,Wed,Home,W,3,1,xk Kosovo,,,81.0,,Sergio Busquets,4-3-3,Jakob Kehlet,Match Report,,24.0,11.0,0,0,0.0,0,Spain
87,2021-09-02,20:45,WCQ,First round,Thu,Away,L,1,2,se Sweden,,,75.0,16901.0,Sergio Busquets,4-3-3,Anthony Taylor,Match Report,,12.0,4.0,0,0,2.0,0,Spain
88,2021-09-05,20:45,WCQ,First round,Sun,Home,W,4,0,ge Georgia,,,75.0,8444.0,César Azpilicueta,4-3-3,Tiago Martins,Match Report,,14.0,8.0,0,0,2.0,2,Spain
89,2021-09-08,20:45,WCQ,First round,Wed,Away,W,2,0,xk Kosovo,,,73.0,1200.0,Sergio Busquets,4-3-3,Bobby Madden,Match Report,,19.0,4.0,0,0,3.0,1,Spain
90,2021-11-11,21:45,WCQ,First round,Thu,Away,W,1,0,gr Greece,,,73.0,7825.0,Koke,4-3-3,Szymon Marciniak,Match Report,,12.0,3.0,1,1,1.0,1,Spain
91,2021-11-14,20:45,WCQ,First round,Sun,Home,W,1,0,se Sweden,,,72.0,51844.0,Sergio Busquets,4-3-3,Felix Brych,Match Report,,12.0,4.0,0,0,0.0,1,Spain
92,2022-03-26,19:45,Friendlies (M),Friendlies (M),Sat,Neutral,W,2,1,al Albania,,,,,Álvaro Morata,4-3-3,Trustin Farrugia Cann,Match Report,,,,0,0,,0,Spain
93,2022-03-29,20:45,Friendlies (M),Friendlies (M),Tue,Neutral,W,5,0,is Iceland,,,,34600.0,Jordi Alba,4-3-3,Horațiu Fesnic,Match Report,,,,1,1,,1,Spain
94,2022-11-23,19:00,World Cup,Group stage,Wed,Neutral,W,7,0,cr Costa Rica,3.5,0.0,81.0,40013.0,Sergio Busquets,4-3-3,Mohammed Abdulla Hassan,Match Report,,16.0,7.0,1,1,0.0,1,Spain
95,2022-11-27,22:00,World Cup,Group stage,Sun,Neutral,D,1,1,de Germany,0.6,1.3,64.0,68895.0,Sergio Busquets,4-3-3,Danny Makkelie,Match Report,,7.0,3.0,0,0,3.0,0,Spain
96,2022-12-01,22:00,World Cup,Group stage,Thu,Neutral,L,1,2,jp Japan,1.0,1.4,82.0,44851.0,Sergio Busquets,4-3-3,Victor Gomes,Match Report,,12.0,5.0,0,0,1.0,0,Spain
97,2022-12-06,18:00,World Cup,Round of 16,Tue,Neutral,D,0 (0),0 (3),ma Morocco,1.0,0.7,76.0,44667.0,Sergio Busquets,4-3-3,Fernando Rapallini,Match Report,Morocco won on penalty kicks following extra time,13.0,1.0,0,0,2.0,1,Spain
98,2021-03-25,20:45,WCQ,First round,Thu,Home,W,3,0,is Iceland,,,82.0,,Manuel Neuer,4-3-3,Srđan Jovanović,Match Report,,15.0,5.0,0,0,2.0,1,Germany
99,2021-03-28,21:45,WCQ,First round,Sun,Away,W,1,0,ro Romania,,,66.0,,Manuel Neuer,4-3-3,Clément Turpin,Match Report,,18.0,9.0,0,0,2.0,1,Germany
100,2021-03-31,20:45,WCQ,First round,Wed,Home,L,1,2,mk N. Macedonia,,,70.0,,İlkay Gündoğan,4-3-3,Sergey Karasev,Match Report,,11.0,2.0,1,1,1.0,0,Germany
