,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Sh,SoT,PK,PKatt,Saves,CS,Nation
90,2022-09-24,20:45,UEFA Nations League,League A,Sat,Away,W,2,1,es Spain,25.0,31089.0,Granit Xhaka,4-2-3-1,Clément Turpin,Match Report,,8,5,0,0,3,0,Switzerland
91,2022-09-27,20:45,UEFA Nations League,League A,Tue,Home,W,2,1,cz Czechia,53.0,13353.0,Granit Xhaka,4-2-3-1,Irfan Peljto,Match Report,,17,3,0,0,3,0,Switzerland
92,2022-06-04,20:45,UEFA Nations League,League A,Sat,Home,D,1,1,de Germany,33.0,23754.0,Alessandro Florenzi,4-3-3,Srdjan Stojanovic,Match Report,,11,2,0,0,3,0,Italy
93,2022-06-07,20:45,UEFA Nations League,League A,Tue,Home,W,2,1,hu Hungary,56.0,14942.0,Gianluigi Donnarumma,4-3-3,Sandro Schärer,Match Report,,17,6,0,0,4,0,Italy
94,2022-06-11,19:45,UEFA Nations League,League A,Sat,Away,D,0,0,eng England,41.0,1782.0,Gianluigi Donnarumma,4-3-3,Szymon Marciniak,Match Report,,8,3,0,0,4,1,Italy
95,2022-06-14,20:45,UEFA Nations League,League A,Tue,Away,L,2,5,de Germany,35.0,44144.0,Gianluigi Donnarumma,4-3-3,István Kovács,Match Report,,14,6,0,0,4,0,Italy
96,2022-09-23,20:45,UEFA Nations League,League A,Fri,Home,W,1,0,eng England,44.0,50640.0,Leonardo Bonucci,3-5-2,Jesús Gil,Match Report,,10,3,0,0,4,1,Italy
97,2022-09-26,20:45,UEFA Nations League,League A,Mon,Away,W,2,0,hu Hungary,47.0,57300.0,Leonardo Bonucci,,Benoît Bastien,Match Report,,11,3,0,0,6,1,Italy
98,2023-06-15,20:45,UEFA Nations League,Semi-finals,Thu,Neutral,L,1,2,es Spain,38.0,24558.0,Leonardo Bonucci,3-5-2,Slavko Vinčič,Match Report,,8,3,1,1,5,0,Italy
99,2023-06-18,15:00,UEFA Nations League,Third-place match,Sun,Neutral,W,3,2,nl Netherlands,40.0,21292.0,Gianluigi Donnarumma,4-3-3,Glenn Nyberg,Match Report,,13,3,0,0,4,0,Italy
100,2022-06-04,18:00,UEFA Nations League,League A,Sat,Home,W,1,0,eng England,42.0,26935.0,Ádám Szalai,3-4-3,Artur Dias,Match Report,,11,6,1,1,4,1,Hungary
101,2022-06-07,20:45,UEFA Nations League,League A,Tue,Away,L,1,2,it Italy,44.0,14942.0,Ádám Szalai,3-4-3,Sandro Schärer,Match Report,,12,4,0,0,4,0,Hungary
102,2022-06-11,20:45,UEFA Nations League,League A,Sat,Home,D,1,1,de Germany,33.0,55948.0,Ádám Szalai,3-4-3,José Sánchez,Match Report,,11,7,0,0,0,0,Hungary
103,2022-06-14,19:45,UEFA Nations League,League A,Tue,Away,W,4,0,eng England,31.0,28839.0,Ádám Szalai,3-4-3,Clément Turpin,Match Report,,6,5,0,0,2,1,Hungary
104,2022-09-23,20:45,UEFA Nations League,League A,Fri,Away,W,1,0,de Germany,28.0,39513.0,Ádám Szalai,3-4-3,Slavko Vinčič,Match Report,,7,3,0,0,3,1,Hungary
105,2022-09-26,20:45,UEFA Nations League,League A,Mon,Home,L,0,2,it Italy,53.0,57300.0,Ádám Szalai,3-4-3,Benoît Bastien,Match Report,,13,6,0,0,1,0,Hungary
106,2022-06-04,20:45,UEFA Nations League,League A,Sat,Away,D,1,1,it Italy,67.0,23754.0,Manuel Neuer,4-2-3-1,Srdjan Stojanovic,Match Report,,12,4,0,0,1,0,Germany
107,2022-06-07,20:45,UEFA Nations League,League A,Tue,Home,D,1,1,eng England,63.0,66289.0,Manuel Neuer,3-4-3,Carlos del Cerro,Match Report,,10,6,0,0,5,0,Germany
108,2022-06-11,20:45,UEFA Nations League,League A,Sat,Away,D,1,1,hu Hungary,67.0,55948.0,Manuel Neuer,3-4-3,José Sánchez,Match Report,,6,1,0,0,6,0,Germany
